,timestamp,location,track,week,pacing,rating
4,8/5/2016 13:41:05,,Apps,,3,8
5,8/5/2016 13:43:54,,Apps,,3,8
6,8/5/2016 13:34:26,,Apps,,3,6
7,8/5/2016 13:35:21,,Apps,,3,6
8,8/5/2016 13:35:36,,Apps,,3,10
9,8/5/2016 13:36:39,,Apps,,4,8
10,8/5/2016 13:39:14,,Apps,,3,8
11,8/5/2016 13:36:43,,Apps,,3,8
12,8/5/2016 13:49:53,,Apps,,3,8
13,8/5/2016 13:34:54,,Apps,,3,10
14,8/5/2016 13:38:26,,Apps,,3,8
15,8/5/2016 13:51:09,,Apps,,1,6
16,8/5/2016 13:52:31,,Apps,,2,10
17,8/5/2016 13:35:43,,Apps,,3,10
18,8/5/2016 13:38:05,,Apps,,3,6
19,8/5/2016 13:35:03,,Apps,,3,8
20,8/5/2016 13:36:44,,Apps,,3,4
21,8/5/2016 13:38:33,,Apps,,3,6
22,8/5/2016 13:40:07,,Apps,,4,6
23,8/5/2016 13:34:18,,Apps,,5,10
24,8/5/2016 13:34:53,,Games,,4,10
25,8/5/2016 13:38:00,,Games,,3,6
26,8/5/2016 13:51:41,,Games,,3,10
27,8/5/2016 13:34:04,,Games,,4,10
28,8/5/2016 13:32:40,,Games,,5,10
29,8/5/2016 15:07:12,,Games,,3,8
30,8/5/2016 13:36:23,,Games,,3,8
31,8/5/2016 13:51:20,,Games,,3,10
32,8/5/2016 13:39:45,,Games,,4,8
33,8/5/2016 14:44:00,,Games,,3,10
34,8/5/2016 14:03:39,,Games,,3,6
35,8/5/2016 13:47:15,,Intro,,4,8
36,8/5/2016 13:45:29,,Intro,,3,8
37,8/5/2016 13:49:31,,Intro,,3,10
38,8/5/2016 13:47:02,,Intro,,3,10
39,8/5/2016 13:48:45,,Intro,,3,10
40,8/5/2016 13:44:33,,Intro,,3,10
41,8/5/2016 13:43:43,,Intro,,4,10
42,8/5/2016 13:44:24,,Intro,,4,8
43,8/5/2016 13:43:17,,Intro,,3,8
44,8/5/2016 13:51:18,,Intro,,3,10
45,8/5/2016 13:43:35,,Intro,,2,8
46,8/7/2016 17:45:06,,Apps,,3,6
0,6/23/2016 15:55:12,,,,4,6
1,6/23/2016 16:14:04,,,,4,8
2,6/24/2016 0:18:42,,,,4,8
3,6/24/2016 6:59:42,,,,4,8
4,6/24/2016 9:40:16,,,,5,8
5,6/23/2016 22:07:29,,,,4,10
6,6/24/2016 9:34:14,,,,3,10
0,7/1/2016 16:35:14,,Apps,,3,4
1,7/1/2016 16:10:55,,Apps,,2,6
2,7/1/2016 17:00:26,,Apps,,3,6
3,7/3/2016 14:53:37,,Apps,,3,6
4,7/1/2016 15:35:19,,Apps,,2,8
5,7/1/2016 15:51:23,,Apps,,2,8
6,7/1/2016 16:07:02,,Apps,,5,8
7,7/1/2016 16:07:26,,Apps,,3,8
8,7/1/2016 16:08:19,,Apps,,4,8
9,7/1/2016 16:12:30,,Apps,,4,8
10,7/1/2016 16:19:32,,Apps,,3,8
11,7/1/2016 16:21:07,,Apps,,5,8
12,7/1/2016 16:41:10,,Apps,,3,8
13,7/1/2016 17:06:05,,Apps,,3,8
14,7/1/2016 17:18:27,,Apps,,3,8
15,7/1/2016 19:06:08,,Apps,,2,8
16,7/2/2016 0:32:56,,Apps,,3,8
17,7/1/2016 16:05:40,,Apps,,3,10
18,7/1/2016 16:07:13,,Apps,,2,10
19,7/1/2016 16:07:24,,Apps,,3,10
20,7/1/2016 16:07:58,,Apps,,3,10
21,7/1/2016 16:07:58,,Apps,,4,10
22,7/1/2016 16:08:49,,Apps,,3,10
23,7/1/2016 16:10:20,,Apps,,3,10
24,7/1/2016 16:10:46,,Apps,,2,10
25,7/1/2016 16:12:17,,Apps,,3,10
26,7/1/2016 16:19:33,,Apps,,4,10
27,7/1/2016 16:22:03,,Apps,,3,10
28,7/1/2016 16:10:34,,Games,,4,8
29,7/1/2016 16:23:13,,Games,,5,8
30,7/1/2016 16:07:04,,Games,,3,10
31,7/1/2016 16:15:04,,Games,,3,10
32,7/1/2016 16:15:41,,Games,,3,10
33,7/1/2016 16:16:13,,Games,,3,10
34,7/1/2016 16:17:34,,Games,,3,10
35,7/1/2016 16:18:02,,Games,,3,10
36,7/1/2016 16:18:02,,Games,,3,10
37,7/1/2016 15:40:51,,Intro,,3,6
38,7/1/2016 15:38:22,,Intro,,2,8
39,7/1/2016 15:40:24,,Intro,,3,8
40,7/1/2016 15:40:28,,Intro,,3,8
41,7/1/2016 15:42:15,,Intro,,3,8
42,7/1/2016 15:49:06,,Intro,,4,8
43,7/1/2016 15:50:59,,Intro,,4,8
44,7/1/2016 16:20:36,,Intro,,4,8
45,7/1/2016 17:13:25,,Intro,,4,8
46,7/5/2016 9:48:32,,Intro,,3,8
47,7/5/2016 16:07:37,,Intro,,4,8
48,7/5/2016 16:10:40,,Intro,,3,8
49,7/5/2016 16:11:11,,Intro,,3,8
50,7/1/2016 16:24:01,,Intro,,4,10
51,7/4/2016 18:31:39,,Intro,,3,10
52,7/5/2016 9:39:22,,Intro,,3,10
53,7/5/2016 10:15:27,,Intro,,3,10
54,7/5/2016 16:09:01,,Intro,,3,10
55,7/2/2016 12:45:15,,VR,,3,2
56,7/2/2016 12:49:55,,VR,,3,4
57,7/5/2016 12:00:21,,VR,,3,4
58,7/1/2016 15:35:33,,VR,,3,10
59,7/2/2016 21:55:49,,VR,,3,10
60,7/5/2016 11:30:35,,VR,,3,10
61,7/5/2016 18:24:11,,VR,,3,10
0,7/15/2016 6:28:26,,Apps,,3,10
1,7/15/2016 6:29:53,,Apps,,3,10
2,7/15/2016 6:30:09,,Apps,,3,8
3,7/15/2016 6:30:24,,Apps,,3,8
4,7/15/2016 6:31:29,,Games,,4,8
